"member_ID","rolling_12mo_spend","rolling_12mo_visit","rolling_12mo_avg_basket","rolling_24mo_spend","pct_spend_grocery_consumables","pct_spend_pharmacy_health","pct_spend_home_hardware","pct_spend_auto_sporting","pct_spend_general_merch","member_tenure_years","return_rate","executive_flag","weekend_shopping_ratio","promo_usage_rate","holiday_spend"
1,6180.84585257786,28,220.744494734924,8507.82042873764,0.140631491783838,0.112711667026008,0.304053305788538,0.133253455976381,0.309350079425235,40.8,0.0273231319697526,1,0.696651351917535,0.14619972971268,1305.15446466215
2,3828.55087102991,19,201.502677422627,5151.03948606803,0.150085017643267,0.11178501623314,0.13001331233993,0.289381654508123,0.318734999275539,35.8,0.0701354548831201,1,0.376764014759101,0.316921775205992,1624.17691183303
3,8010.78340951527,21,381.465876643584,12041.420198012,0.200007248753281,0.105753588066829,0.193961844741491,0.13185595843532,0.368421360003078,31.6,0.0221341854436781,1,0.268387447157875,0.133381841541268,2429.32017308512
4,5652.72285388009,18,314.040158548894,7250.01081502604,0.346491471142054,0.0716755430462605,0.199436136535308,0.0752405710059743,0.307156278270403,31.2,0.00936657803800428,1,0.227840189752169,0.198371474491432,1914.83872964928
5,7650.92596356236,24,318.788581815098,10317.0438318926,0.141506187824322,0.223281929231421,0.10553292543726,0.0475185096069636,0.482160447900033,25.3,0.0158951225499301,1,0.351477452367544,0.186347832973115,2962.87290056906
6,7413.9231753131,24,308.913465638046,10711.5635308315,0.222379737843389,0.162730812297929,0.0732556269985048,0.217479838753099,0.324153984107078,41.1,0.0661896947184525,1,0.690250311093405,0.30971002294682,2059.68552352551
7,3471.2604066761,22,157.784563939823,4405.77268858445,0.216470010736741,0.0791062127041964,0.213334456986128,0.0951394694509196,0.395949850122015,21,0.0347770573448199,1,0.473144800565205,0.377514849603176,966.96186252682
8,4798.1722797627,18,266.565126653484,6832.44115148545,0.263304947785642,0.165572075855798,0.235785162727609,0.136893666885656,0.198444146745295,33.8,0.0386993336016288,1,0.459912441833876,0.158776234928519,1582.75278846094
9,5134.19434269682,34,151.005715961671,9920.04286419672,0.205613789745653,0.107134112314315,0.289500524501352,0.12160031588624,0.27615125755244,37.8,0.00880419766360808,1,0.46098432962317,0.284657222847454,1685.60984935181
10,4588.91562246869,19,241.521874866773,6063.5202749553,0.231991675260383,0.226168592935317,0.219474774636265,0.0292331097655373,0.293131847402497,39.2,0.0629322630010487,1,0.418760125571862,0.332526014535688,1100.18005254784
11,2522.50497365347,17,148.382645509028,7574.98227915592,0.137713975946611,0.183431925336558,0.0544565625221529,0.129691786602267,0.494705749592412,41.3,0.0448913305275232,1,0.549388294504024,0.108523521013558,1179.91785624132
12,3707.5463668228,25,148.301854672912,5926.86900014715,0.305353023531759,0.24042867596919,0.0942420229861233,0.0559877133849259,0.303988564128002,20.3,0.0351724521257841,1,0.337517601484433,0.261978903110139,1579.91960220869
13,3468.21846682317,19,182.537814043325,4611.45500228381,0.117928765506737,0.224501575116718,0.189583605490097,0.0485456235371871,0.419440430349261,9.2,0.0609426146170072,1,0.497882616054267,0.335727981873788,1127.44992921726
14,3563.03154264376,24,148.459647610157,5777.31806296484,0.29229971536535,0.0712078922777478,0.287565281293353,0.0447723118393725,0.304154799224176,23.9,0.0120947279380756,1,0.530188373918645,0.121801682608202,1009.24101805781
15,2524.02265741074,20,126.201132870537,8189.21086381439,0.292342726135298,0.191258853363337,0.095096129908638,0.0646883207005413,0.356613969892185,19.1,0.0219784287707465,1,0.641717653884552,0.139988551218994,1168.90927605821
16,4189.51808565245,16,261.844880353278,8849.7068694337,0.281576661824883,0.137215120729749,0.128978083201331,0.0557531849521107,0.396476949291926,35.5,0.0524621870128245,1,0.416300945612602,0.107086930912919,1159.38141549482
17,7551.64333911619,22,343.256515414372,10255.0837433419,0.203948125126336,0.255815244159071,0.177528478056874,0.07159486828526,0.291113284372458,30.4,0.0159350460042522,1,0.636577231390402,0.379236111207865,1979.72422366705
18,4077.24715127618,26,156.817198126007,5650.64261109939,0.137434156417671,0.05564711379502,0.295759359270693,0.0138944981391238,0.497264872377493,41.7,0.0516672669475765,1,0.50171201901976,0.331834034156054,1067.03096943778
19,5343.43486824763,29,184.25637476716,9134.13376048025,0.243261060047163,0.221192710241476,0.15852839496094,0.132659111891751,0.244358722858669,38.5,0.0508378414726268,1,0.350269801612012,0.243921266542748,1204.84979002197
20,9365.10267460799,20,468.2551337304,13197.9805613524,0.0439539645600919,0.158655947165195,0.135151948397537,0.140960892783206,0.521277247093969,40.7,0.0756823334733071,1,0.404637818853371,0.387935467227362,1899.05074280328
21,4163.76992113422,19,219.145785322853,6947.00521230231,0.128258042197878,0.218629690399229,0.0586797803312356,0.257634732197299,0.336797754874358,40.8,0.0738297184931812,1,0.411407008813694,0.272372418828309,1717.8040353171
22,3597.68366018043,19,189.351771588444,6188.24470724914,0.148640820933214,0.0515478223206091,0.164475236328219,0.200099969756075,0.435236150661882,6.4,0.0641379669483577,0,0.36715354914777,0.304843792854808,1206.46951532695
23,3893.87179390253,25,155.754871756101,7749.72826213535,0.374673357928909,0.150337559561429,0.30361942703618,0.00645863552930629,0.164911019944176,37.3,0.0447296508522116,1,0.551107081165537,0.308970066369511,1412.96352923346
24,3541.46269823468,24,147.560945759778,6361.32071290949,0.171098693827956,0.0895732210718097,0.186925417904186,0.216222866413404,0.336179800782644,24.4,0.00275149867349859,1,0.311704759998247,0.240989301400259,825.973026273717
25,4621.42730655423,26,177.74720409824,6893.67203931716,0.107224381282384,0.0838401157949879,0.274741507736971,0.273493585172886,0.260700410012771,24.5,0.00943367667405291,1,0.663302683550864,0.371471588918939,1157.67128099873
26,4305.44375237862,31,138.885282334794,8281.2191683755,0.190156362226581,0.0502139182909318,0.226631242403993,0.0304561445407766,0.502542332537718,36.2,0.0539007466618146,1,0.610225584288128,0.276012796233408,1224.81074770136
27,3866.48207099571,20,193.324103549786,6337.52657961458,0.176087723182036,0.118201180732428,0.204353103189101,0.00278067499976639,0.498577317896668,25.2,0.0585313396549508,1,0.560352855524979,0.398549442715012,991.002375334807
28,7847.22902111277,21,373.677572433942,11105.2160665641,0.418792504836379,0.118635827839976,0.11287243119025,0.0850367122890779,0.264662523844317,41,0.120055874559061,1,0.386482275137678,0.271405136585236,2956.84329749587
29,4106.26606308328,26,157.933310118588,5097.60317628706,0.164877310633065,0.0702458331712049,0.164087082503873,0.0424344679207626,0.558355305771094,20.8,0.0660101885494725,1,0.596327359718271,0.292842090176418,1220.76972968134
30,5763.38249336409,19,303.335920703373,6052.86775624164,0.0856458272008359,0.195255370190942,0.284393988087503,0.0893752884981898,0.345329526022529,41.1,0.116472535322957,1,0.549839550559409,0.235672010760754,1759.07383008179
31,7279.78846840771,24,303.324519516988,8869.32540552769,0.372693434680432,0.0702067501566334,0.198186983487567,0.00425249398628259,0.354660337689085,31.2,0.0107270555357235,1,0.640266606863588,0.366169304749928,2662.56385044591
32,5163.97991038479,27,191.258515199436,6972.06587881372,0.329540979354118,0.103936630793504,0.145159041627806,0.0295915345989872,0.391771813625585,24.5,0.0417123316143313,1,0.69368688010145,0.252523918868974,1594.20485888683
33,1636.67363482084,17,96.2749196953435,5705.15279780477,0.465438446214811,0.202317176837126,0.0163904829686815,0.158637765934859,0.157216128044522,11.8,0.078853901050069,1,0.475791221065447,0.240299097914249,749.771086815633
34,3028.03301890784,21,144.192048519421,5251.76803256265,0.278770700889912,0.0490454196371028,0.175809170558816,0.169288140930121,0.327086567984049,16.1,0.0172878868087905,0,0.226347583159804,0.288256145617925,661.268817022354
35,5130.80793607777,26,197.338766772222,7695.74151364083,0.205205273259709,0.095502235736711,0.216419112273394,0.193209803413238,0.289663575316947,31.1,0.0082813223404342,1,0.574655336840078,0.383955930429511,1378.58673865765
36,5460.4051728155,17,321.200304283265,7722.41642878889,0.228835968919194,0.0868770832813053,0.0906192331335638,0.195696114461097,0.39797160020484,34.2,0.0187655768566304,1,0.485136737977155,0.162544909794815,1173.92368600947
